price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Panelprogram,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Parkolóhely ára
44.9,"XIV. kerület, Vezér utca ",49.0,2.0,0,3.0,felújított,|nincs megadva|,|nincs megadva|,4,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,utcai,3 m|2|,|nincs megadva|,|nincs megadva|,részt vett,"utca, közterület - ingyenes",házközponti egyedi méréssel,van,|nincs megadva|,
38.5,"XIV. kerület, Róna utca ",35.0,1.0,0,,jó állapotú,1950 és 1980 között,|nincs megadva|,földszint,|nincs megadva|,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,9 500  Ft/hó,|nincs megadva|,északkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
41.9,"XIV. kerület, Paskál-malom utca ",49.0,2.0,0,,felújítandó,1950 és 1980 között,|nincs megadva|,földszint,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,
18.5,"XIV. kerület, Abonyi utca ",27.0,1.0,0,,felújított,|nincs megadva|,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 000  Ft/hó,egy helyiségben,nyugat,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - fizetős övezet",házközponti,|nincs megadva|,|nincs megadva|,
96.5,"XIV. kerület, Szugló utca ",93.0,3.0,1.0,2.0,újszerű,2001 és 2010 között,duplakomfortos,2,3,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,panorámás,2 m|2|,|nincs megadva|,tetőtéri,,önálló garázs - megvásárolható,"padlófűtés, gázkazán, hűtő-fűtő klíma",|nincs megadva|,AA+,"6,50 M Ft"
36.99,"XIV. kerület, Nagyzugló - Kerepesi úti lakótelep ",37.0,1.0,0,2.0,közepes állapotú,1981 és 2000 között,összkomfortos,1,4,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,külön helyiségben,nyugat,kertre néz,2 m|2|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,
108.0,"XIV. kerület, Alsórákos ",85.0,4.0,0,10.0,felújított,2001 és 2010 között,|nincs megadva|,1,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északnyugat,kertre néz,10 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
44.9,"XIV. kerület, Alsórákos ",49.0,2.0,0,7.2,jó állapotú,1950 és 1980 között,összkomfortos,1,3,|nincs megadva|,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 000  Ft/hó,külön helyiségben,délnyugat,kertre néz,7.2 m|2|,|nincs megadva|,|nincs megadva|,,teremgarázs hely - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,
26.9,"XIV. kerület, Fűrész utca ",34.0,1.0,0,30.0,jó állapotú,|nincs megadva|,összkomfortos,földszint,3,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,19 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 m|2|,igen,nem tetőtéri,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
45.5,"XIV. kerület, Kerékgyártó utca ",47.0,1.0,1.0,3.0,jó állapotú,1950 és 1980 között,összkomfortos,1,2,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,2 000  Ft/hó,egy helyiségben,dél,utcai,3 m|2|,nem,nem tetőtéri,,"utca, közterület - ingyenes",gázkazán,nincs,|nincs megadva|,
