price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Parkolóhely ára
67.5,"VII. kerület, Király utca ",50.0,1.0,0,felújított,|nincs megadva|,összkomfortos,1,2,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,17 000  Ft/hó,nem,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület","gázkazán, hűtő-fűtő klíma",van,|nincs megadva|,,
79.04,"VII. kerület, Károly körút ",65.0,2.0,1.0,jó állapotú,1950 előtt,összkomfortos,4,6,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,21 000  Ft/hó,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,
79.9,"VII. kerület, Rákóczi út 78.",88.0,3.0,0,felújított,1950 előtt,duplakomfortos,földszint,4,nincs,3 m-nél alacsonyabb,nincs,150 m|3|/hó,100 kWh/hó,19 000  Ft/hó,24 000  Ft/hó,nem,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet","gázkazán, elektromos fűtőpanel",nincs,EE,,
59.5,"VII. kerület, Csányi utca 7.",45.0,2.0,0,felújított,1950 előtt,összkomfortos,1,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 200  Ft/hó,nem,egy helyiségben,délnyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet","padlófűtés, elektromos fűtőpanel",nincs,|nincs megadva|,,
42.5,"VII. kerület, Barcsay utca 11.",39.0,1.0,0,felújított,|nincs megadva|,összkomfortos,földszint,4,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
118.2,"VII. kerület, Akácfa utca 60.",57.0,2.0,0,új építésű,2025,összkomfortos,1,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,dél,udvari,4.18 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"mennyezeti hűtés-fűtés, hőszivattyú",van,|nincs megadva|,4.18,"10,50 M Ft"
26.0,"VII. kerület, Nefelejcs utca 5.",25.0,1.0,0,felújított,|nincs megadva|,összkomfortos,földszint,3,|nincs megadva|,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,7 975  Ft/hó,|nincs megadva|,egy helyiségben,délkelet,udvari,4 m|2|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",gáz (konvektor),van,|nincs megadva|,4.0,
84.9,"VII. kerület, Síp utca 22.",67.0,1.0,2.0,újszerű,2001 és 2010 között,összkomfortos,7,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,tetőtéri,teremgarázs hely - megvásárolható,gázkazán,|nincs megadva|,|nincs megadva|,,12 M Ft
65.9,"VII. kerület, Wesselényi utca ",87.0,3.0,0,felújított,1950 előtt,összkomfortos,3,3,nincs,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,36 000  Ft/hó,nem,külön helyiségben,északnyugat,utcai,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,,
39.8,"VII. kerület, Külső-Erzsébetváros ",54.0,1.0,1.0,felújított,1950 előtt,összkomfortos,félemelet,4,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,23 000  Ft/hó,14 364  Ft/hó,nem,|nincs megadva|,nyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
95.0,"VII. kerület, Klauzál tér 16.",82.0,3.0,0,jó állapotú,1950 előtt,összkomfortos,4,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,22 000  Ft/hó,16 170  Ft/hó,|nincs megadva|,külön és egyben is,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,,
33.9,"VII. kerület, Rózsák tere ",27.0,1.0,1.0,felújított,1950 és 1980 között,összkomfortos,félemelet,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 000  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
33.9,"VII. kerület, Rózsák tere ",27.0,1.0,1.0,felújított,1950 és 1980 között,összkomfortos,földszint,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 780  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",elektromos fűtőpanel,nincs,|nincs megadva|,,
62.99,"VII. kerület, Nagy Diófa utca ",70.0,2.0,1.0,közepes állapotú,1981 és 2000 között,összkomfortos,2,2,nincs,3 m-nél magasabb,nincs,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,48 000  Ft/hó,nem,külön helyiségben,délnyugat,kertre néz,|nincs megadva|,nem,tetőtéri,"utca, közterület - fizetős övezet",házközponti,nincs,|nincs megadva|,,
73.0,"VII. kerület, Károly körút ",44.0,2.0,0,felújított,1950 előtt,összkomfortos,8,9,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,nem,egy helyiségben,délnyugat,panorámás,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",házközponti,|nincs megadva|,|nincs megadva|,,
49.9,"VII. kerület, Péterfy Sándor utca ",61.0,3.0,0,felújított,1950 előtt,összkomfortos,földszint,5,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,20 000 000  Ft/hó,|nincs megadva|,nem,külön helyiségben,délkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes","cserépkályha, egyéb",|nincs megadva|,|nincs megadva|,,
69.0,"VII. kerület, Külső-Erzsébetváros - Ligetváros ",84.0,3.0,0,felújított,1950 előtt,|nincs megadva|,1,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
38.0,"VII. kerület, Dohány utca 46.",38.0,1.0,0,felújítandó,1950 előtt,összkomfortos,1,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,igen,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",házközponti,|nincs megadva|,|nincs megadva|,,
22.9,"VII. kerület, Hernád utca 32.",24.0,1.0,0,közepes állapotú,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",|nincs megadva|,nincs,|nincs megadva|,,
54.9,"VII. kerület, Akácfa utca ",64.0,2.0,0,jó állapotú,1950 előtt,duplakomfortos,3,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,11 400  Ft/hó,|nincs megadva|,egy helyiségben,nyugat,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
54.9,"VII. kerület, Akácfa utca ",64.0,2.0,0,jó állapotú,1950 előtt,duplakomfortos,3,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,11 400  Ft/hó,|nincs megadva|,egy helyiségben,nyugat,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
48.0,"VII. kerület, Középső-Erzsébetváros ",60.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,délnyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",|nincs megadva|,|nincs megadva|,|nincs megadva|,,
43.8,"VII. kerület, Külső-Erzsébetváros ",51.0,1.0,1.0,felújított,1950 előtt,|nincs megadva|,félemelet,4,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,18 000  Ft/hó,13 566  Ft/hó,nem,|nincs megadva|,nyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
32.79,"VII. kerület, Peterdy utca ",49.0,2.0,0,felújítandó,1950 előtt,komfortos,3,3,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 200  Ft/hó,nem,külön helyiségben,kelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,EE,,
38.5,"VII. kerület, Külső-Erzsébetváros - Ligetváros ",41.0,1.0,1.0,jó állapotú,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 400  Ft/hó,|nincs megadva|,egy helyiségben,délnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,,
32.79,"VII. kerület, Peterdy utca ",49.0,2.0,0,közepes állapotú,|nincs megadva|,összkomfortos,3,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 000  Ft/hó,|nincs megadva|,külön helyiségben,délkelet,udvari,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
37.0,"VII. kerület, Vörösmarty utca 3/a",36.0,1.0,1.0,jó állapotú,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,nincs,29 m|3|/hó,|nincs megadva|,|nincs megadva|,14 400  Ft/hó,nem,egy helyiségben,északnyugat,udvari,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
36.9,"VII. kerület, Wesselényi utca ",33.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,földszint,3,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,12 000  Ft/hó,|nincs megadva|,egy helyiségben,nyugat,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet","gáz (konvektor), hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,
29.9,"VII. kerület, Hársfa utca 10.",26.0,1.0,0,felújított,|nincs megadva|,összkomfortos,2,2,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,,
79.9,"VII. kerület, Kazinczy utca 13.",59.0,2.0,0,újszerű,2001 és 2010 között,duplakomfortos,3,6,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,
54.99,"VII. kerület, Péterfy Sándor utca ",67.0,2.0,1.0,felújított,1950 előtt,|nincs megadva|,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
42.5,"VII. kerület, Peterdy utca ",50.0,2.0,0,felújítandó,1950 előtt,összkomfortos,2,4,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
41.5,"VII. kerület, Peterdy utca ",50.0,1.0,1.0,közepes állapotú,|nincs megadva|,|nincs megadva|,2,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,12 000  Ft/hó,nem,külön helyiségben,dél,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
44.8,"VII. kerület, Verseny utca ",67.0,2.0,0,közepes állapotú,|nincs megadva|,összkomfortos,1,|nincs megadva|,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet","gáz (konvektor), hűtő-fűtő klíma",nincs,|nincs megadva|,,
30.9,"VII. kerület, Garay tér ",36.0,1.0,0,felújított,|nincs megadva|,összkomfortos,földszint,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 700  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
