price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Panelprogram
148.8,"III. kerület, Testvérhegy ",93.0,4.0,0,|nincs megadva|,2023,|nincs megadva|,földszint,3,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,kertre néz,|nincs megadva|,igen,|nincs megadva|,teremgarázs hely - megvásárolható,7 M Ft,hőszivattyú,van - 15 cm,AA++,,
127.3,"III. kerület, Testvérhegy ",88.0,4.0,0,|nincs megadva|,2023,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,kertre néz,9 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,hőszivattyú,|nincs megadva|,|nincs megadva|,9.0,
103.3,"III. kerület, Testvérhegy ",65.0,2.0,0,|nincs megadva|,2023,|nincs megadva|,földszint,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,kertre néz,20 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,hőszivattyú,|nincs megadva|,|nincs megadva|,20.0,
150.0,"III. kerület, Testvérhegy ",93.0,4.0,0,|nincs megadva|,2023,|nincs megadva|,földszint,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,kertre néz,20 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,hőszivattyú,|nincs megadva|,|nincs megadva|,20.0,
128.0,"III. kerület, Testvérhegy ",88.0,4.0,0,|nincs megadva|,2023,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,kertre néz,9 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,hőszivattyú,nincs,|nincs megadva|,9.0,
103.3,"III. kerület, Testvérhegy ",64.0,2.0,0,|nincs megadva|,2023,|nincs megadva|,földszint,2,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,|nincs megadva|,20 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,7 M Ft,hőszivattyú,nincs,|nincs megadva|,20.0,
40.9,"III. kerület, Óbuda - Filatorigát ",40.0,2.0,0,jó állapotú,1950 és 1980 között,összkomfortos,3,|nincs megadva|,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,kertre néz,|nincs megadva|,|nincs megadva|,zárószint,|nincs megadva|,,gáz (konvektor),|nincs megadva|,|nincs megadva|,,
660.0,"II. kerület, Árpád fejedelem útja ",592.0,20.0,1.0,felújított,1950 előtt,komfortos,|nincs megadva|,|nincs megadva|,van,3 m-nél magasabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,50 480  Ft/hó,|nincs megadva|,délnyugat,panorámás,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,,
93.5,"III. kerület, József utca ",80.0,3.0,0,|nincs megadva|,2023,összkomfortos,földszint,2,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,utcai,|nincs megadva|,igen,|nincs megadva|,udvari beálló - benne van az árban,,gázkazán,|nincs megadva|,|nincs megadva|,,
119.9,"II. kerület, Országút ",113.0,3.0,0,jó állapotú,1950 előtt,|nincs megadva|,1,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
