price,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány
39.9,37.0,1.0,1.0,újszerű,2012,összkomfortos,4,8,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,panorámás,7 m|2|,|nincs megadva|,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van - 8 cm,|nincs megadva|
59.5,52.0,2.0,0.0,új építésű,2025,összkomfortos,1,6,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északkelet,utcai,|nincs megadva|,nem,teremgarázs hely - megvásárolható,mennyezeti hűtés-fűtés,van - 20 cm,AA
53.0,47.0,2.0,0.0,új építésű,2025,összkomfortos,1,6,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északkelet,utcai,|nincs megadva|,nem,teremgarázs hely - megvásárolható,mennyezeti hűtés-fűtés,van - 20 cm,AA
58.1,51.0,2.0,0.0,új építésű,2025,összkomfortos,1,6,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,utcai,|nincs megadva|,nem,teremgarázs hely - megvásárolható,mennyezeti hűtés-fűtés,van - 20 cm,AA
89.5,67.0,3.0,0.0,újszerű,2001 és 2010 között,|nincs megadva|,földszint,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,kertre néz,15 m|2|,igen,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|
67.0,50.0,2.0,0.0,új építésű,2024,összkomfortos,1,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,utcai,11.32 m|2|,nem,teremgarázs hely - megvásárolható,"házközponti, hőszivattyú",van - 15 cm,|nincs megadva|
31.9,51.0,2.0,0.0,felújítandó,1950 és 1980 között,összkomfortos,1,2,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,1 m|2|,igen,"utca, közterület - ingyenes",hűtő-fűtő klíma,|nincs megadva|,|nincs megadva|
100.6,74.0,3.0,0.0,új építésű,2025,összkomfortos,6,6,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,udvari,9.76 m|2|,nem,teremgarázs hely - megvásárolható,mennyezeti hűtés-fűtés,van - 20 cm,AA
79.9,62.0,3.0,0.0,új építésű,2023,|nincs megadva|,2,2,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,|nincs megadva|,10 m|2|,|nincs megadva|,|nincs megadva|,"hőszivattyú, padlófűtés",van - 10 cm,|nincs megadva|
105.0,100.0,3.0,0.0,új építésű,2023,luxus,|nincs megadva|,2,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 m|2|,|nincs megadva|,teremgarázs hely,"hőszivattyú, hűtő-fűtő klíma",van,|nincs megadva|
