price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Parkolóhely ára
65.99,"VI. kerület, Szinyei Merse utca 10.",44.0,2.0,0,új építésű,2023,|nincs megadva|,4,4,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,egy helyiségben,északkelet,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",hőszivattyú,van - 30 cm,|nincs megadva|,,
79.99,"VI. kerület, Szinyei Merse utca 10.",54.0,3.0,0,új építésű,2023,|nincs megadva|,3,4,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,nyugat,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",hőszivattyú,van - 30 cm,|nincs megadva|,,
102.99,"VI. kerület, Szinyei Merse utca 10.",70.0,4.0,0,új építésű,2023,|nincs megadva|,4,4,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,nyugat,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",hőszivattyú,van - 30 cm,|nincs megadva|,,
76.9,"VI. kerület, Bajza utca ",75.0,2.0,1.0,felújított,1950 előtt,összkomfortos,földszint,4,nincs,3 m-nél magasabb,nincs,|nincs megadva|,400 kWh/hó,40 000  Ft/hó,37 000  Ft/hó,nem,külön és egyben is,északkelet,|nincs megadva|,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - ingyenes",gázkazán,van - 5 cm,|nincs megadva|,,
82.99,"VI. kerület, Király utca ",63.0,2.0,0,újszerű,1950 előtt,összkomfortos,2,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,
69.9,"VI. kerület, Káldy Gyula utca 5.",50.0,1.0,1.0,újszerű,2001 és 2010 között,|nincs megadva|,földszint,6,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,31 000  Ft/hó,nem,egy helyiségben,dél,kertre néz,6 m|2|,igen,nem tetőtéri,"utca, közterület",gázkazán,van,|nincs megadva|,6.0,
199.0,"VI. kerület, Felső erdősor ",97.0,3.0,0,|nincs megadva|,1950 előtt,luxus,1,2,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,északkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",padlófűtés,|nincs megadva|,|nincs megadva|,,
190.0,"VI. kerület, Eötvös utca ",141.0,4.0,0,újszerű,2001 és 2010 között,összkomfortos,4,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,északkelet,utcai,44 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,44.0,
159.9,"VI. kerület, Andrássy út ",51.0,1.0,1.0,jó állapotú,|nincs megadva|,összkomfortos,2,|nincs megadva|,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,egy helyiségben,nyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
77.7,"VI. kerület, Dessewffy utca ",52.0,2.0,1.0,újszerű,1950 előtt,komfortos,1,3,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 400  Ft/hó,|nincs megadva|,|nincs megadva|,délkelet,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
73.5,"VI. kerület, Belső-Terézváros ",50.0,1.0,1.0,jó állapotú,|nincs megadva|,összkomfortos,|nincs megadva|,földszintes,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,4 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,4.0,
85.5,"VI. kerület, Mozsár utca ",65.0,3.0,0,felújított,|nincs megadva|,|nincs megadva|,földszint,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
79.9,"VI. kerület, Szív utca 18.",91.0,3.0,0,közepes állapotú,1950 előtt,összkomfortos,3,4,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,60 000  Ft/hó,48  Ft/hó,nem,külön és egyben is,északkelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,,
79.9,"VI. kerület, Külső-Terézváros ",63.0,3.0,0,felújított,1950 és 1980 között,összkomfortos,1,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,200 kWh/hó,30  Ft/hó,15  Ft/hó,nem,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",hűtő-fűtő klíma,nincs,|nincs megadva|,,
149.99,"VI. kerület, Rózsa utca ",130.0,3.0,0,felújított,2001 és 2010 között,duplakomfortos,7,7,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,dél,panorámás,150 m|2|,igen,penthouse,önálló garázs - benne van az árban,házközponti egyedi méréssel,van,|nincs megadva|,150.0,
