price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,balcony,Parkolóhely ára,Panelprogram
53.9,"IX. kerület, Üllői út 21.",58.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,4,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,10 000  Ft/hó,|nincs megadva|,külön helyiségben,délnyugat,kertre néz,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület","gáz (konvektor), hűtő-fűtő klíma",van,|nincs megadva|,,,
81.75,"IX. kerület, Pápay István utca 5.",57.0,3.0,0,új építésű,2023,összkomfortos,9,9,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,délnyugat,|nincs megadva|,9.97 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"hőszivattyú, fan-coil",|nincs megadva|,BB,9.97,,
71.5,"IX. kerület, Bárd utca 5.",45.0,2.0,0,új építésű,2023,összkomfortos,6,9,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,délnyugat,udvari,9.37 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van - 15 cm,AA,9.37,8 M Ft,
70.02,"IX. kerület, Bárd utca 5.",46.0,2.0,0,új építésű,2023,összkomfortos,6,9,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,délnyugat,udvari,9.54 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van - 15 cm,AA,9.54,8 M Ft,
75.9,"IX. kerület, Pápay István utca 5.",50.0,2.0,0,új építésű,2023,összkomfortos,9,9,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,egy helyiségben,délkelet,udvari,14.3 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"hőszivattyú, fan-coil",|nincs megadva|,|nincs megadva|,14.3,,
94.9,"IX. kerület, Pápay István utca 5.",77.0,3.0,0,új építésű,2023,összkomfortos,1,9,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,északnyugat,utcai,5.86 m|2|,igen,nem tetőtéri,|nincs megadva|,"hőszivattyú, fan-coil",|nincs megadva|,BB,5.86,,
54.9,"IX. kerület, Üllői út ",58.0,2.0,0,újszerű,1950 előtt,|nincs megadva|,4,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,10 000  Ft/hó,|nincs megadva|,külön helyiségben,délnyugat,kertre néz,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület","gáz (konvektor), hűtő-fűtő klíma",van,|nincs megadva|,,,
139.0,"IX. kerület, Drégely utca ",114.0,3.0,0,újszerű,2001 és 2010 között,duplakomfortos,7,7,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,panorámás,25 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely,gázkazán,van,|nincs megadva|,25.0,,
54.9,"IX. kerület, Ernő utca 26.",35.0,1.0,1.0,újszerű,2001 és 2010 között,|nincs megadva|,3,6,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,egy helyiségben,|nincs megadva|,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van,|nincs megadva|,,8 M Ft,
59.0,"IX. kerület, Mester utca ",40.0,2.0,0,újszerű,2014,összkomfortos,9,9,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 108  Ft/hó,|nincs megadva|,egy helyiségben,északnyugat,panorámás,3 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,CC,3.0,,
