price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Panelprogram,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Parkolóhely ára
42.2,"IV. kerület, Megyeri út ",54.0,1.0,1.0,2.0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,2 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
60.0,"IV. kerület, Árpád út ",55.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
38.0,"IV. kerület, Munkásotthon utca ",37.0,1.0,1.0,,újszerű,2001 és 2010 között,összkomfortos,3,5,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,,|nincs megadva|,házközponti egyedi méréssel,van,|nincs megadva|,
170.0,"V. kerület, Báthory utca ",75.0,2.0,0,4.0,felújított,1950 előtt,luxus,1,6,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 000  Ft/hó,külön és egyben is,kelet,utcai,4 m|2|,|nincs megadva|,nem tetőtéri,,"utca, közterület","elektromos fűtőpanel, hűtő-fűtő klíma",van,|nincs megadva|,
42.9,"V. kerület, Balassi Bálint utca ",23.0,1.0,0,,felújított,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,
36.9,"V. kerület, Reáltanoda utca ",29.0,1.0,0,,felújított,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,180 kWh/hó,30 000  Ft/hó,12 470  Ft/hó,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - fizetős övezet",hűtő-fűtő klíma,van,|nincs megadva|,
150.0,"V. kerület, Zrínyi utca ",55.0,2.0,0,,felújított,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,van,|nincs megadva|,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület",házközponti,|nincs megadva|,|nincs megadva|,
72.2,"V. kerület, Október 6. utca ",60.0,2.0,0,,közepes állapotú,|nincs megadva|,összkomfortos,3,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet",házközponti,|nincs megadva|,|nincs megadva|,
49.9,"IV. kerület, Vörösmarty utca ",73.0,2.0,0,,felújított,|nincs megadva|,összkomfortos,1,2,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,15 600  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - ingyenes",gázkazán,|nincs megadva|,|nincs megadva|,
75.0,"V. kerület, Régi posta utca 7-9.",50.0,2.0,0,3.0,jó állapotú,1950 előtt,|nincs megadva|,félemelet,5,van,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,egy helyiségben,délnyugat,udvari,3 m|2|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,
41.5,"IV. kerület, Erdősor út 26.",69.0,3.0,0,9.0,felújítandó,1981 és 2000 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,37 000  Ft/hó,külön helyiségben,kelet,utcai,9 m|2|,nem,,,"utca, közterület - ingyenes",házközponti,|nincs megadva|,|nincs megadva|,
46.0,"IV. kerület, Nyár utca ",68.0,2.0,1.0,4.0,felújítandó,1950 és 1980 között,összkomfortos,2,4,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,külön helyiségben,kelet,utcai,4 m|2|,nem,nem tetőtéri,nem vett részt,"utca, közterület - ingyenes",távfűtés egyedi méréssel,|nincs megadva|,CC,
30.9,"IV. kerület, Szent László tér ",36.0,1.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,2,3,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,7 000  Ft/hó,egy helyiségben,nyugat,utcai,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - ingyenes",gáz (konvektor),van,|nincs megadva|,
76.0,"V. kerület, Váci utca 45.",54.0,2.0,0,,jó állapotú,1950 előtt,összkomfortos,3,4,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,észak,udvari,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri",,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
31.5,"IV. kerület, Berda József utca ",37.0,1.0,0,,felújított,1950 előtt,összkomfortos,1,2,|nincs megadva|,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 026  Ft/hó,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - ingyenes","elektromos fűtőpanel, hűtő-fűtő klíma",nincs,|nincs megadva|,
53.4,"IV. kerület, Attila utca ",49.0,2.0,0,,|nincs megadva|,2001 és 2010 között,összkomfortos,2,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,24 497  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,udvari beálló - megvásárolható,|nincs megadva|,|nincs megadva|,|nincs megadva|,3 M Ft
58.5,"IV. kerület, Sárpatak utca ",73.0,3.0,0,,jó állapotú,|nincs megadva|,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,részt vett,"utca, közterület - ingyenes",távfűtés egyedi méréssel,van,|nincs megadva|,
229.0,"V. kerület, Régi posta utca ",100.0,3.0,0,,felújított,1950 előtt,duplakomfortos,2,6,van,3 m-nél magasabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,62 000  Ft/hó,24 000  Ft/hó,külön és egyben is,északnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,
79.9,"IV. kerület, Árpád út 13.",85.0,3.0,1.0,2.0,felújított,|nincs megadva|,összkomfortos,2,2,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 500  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,2 m|2|,nem,nem tetőtéri,,önálló garázs,gázkazán,nincs,|nincs megadva|,
50.5,"IV. kerület, Székpatak utca ",65.0,3.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
55.9,"IV. kerület, Kassai utca ",53.0,2.0,0,,felújított,1950 és 1980 között,összkomfortos,földszint,10,van,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,15 000  Ft/hó,15 900  Ft/hó,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,nem vett részt,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
