price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Panelprogram,Parkolóhely ára,Energetikai tanúsítvány
25.0,"VIII. kerület, Lippa utca ",26.0,1.0,0,felújított,1950 előtt,|nincs megadva|,földszint,4,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,6 000  Ft/hó,7 000  Ft/hó,nem,egy helyiségben,délkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",elektromos fűtőpanel,nincs,|nincs megadva|,,,,
29.99,"VIII. kerület, Lippa utca ",38.0,2.0,0,felújított,1950 előtt,|nincs megadva|,földszint,4,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,6 000  Ft/hó,7 000  Ft/hó,nem,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",elektromos fűtőpanel,nincs,|nincs megadva|,,,,
22.0,"VIII. kerület, Teleki László tér ",14.0,1.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,,,
37.5,"VIII. kerület, Józsefváros - Corvinnegyed ",42.0,2.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,,,
85.6,"VIII. kerület, Józsefváros - Népszínháznegyed ",70.0,2.0,0,felújított,1950 és 1980 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,dél,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,hőszivattyú,|nincs megadva|,|nincs megadva|,,,,
179.9,"VIII. kerület, Józsefváros - Csarnoknegyed ",120.0,3.0,0,|nincs megadva|,1950 előtt,luxus,5,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,panorámás,|nincs megadva|,|nincs megadva|,zárószint,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,,
56.9,"VIII. kerület, Somogyi Béla utca ",48.0,1.0,0,felújított,|nincs megadva|,|nincs megadva|,1,2,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,,
73.9,"VIII. kerület, József körút ",87.0,3.0,0,jó állapotú,1950 előtt,összkomfortos,1,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,nyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,,
69.99,"VIII. kerület, Corvin sétány ",32.0,1.0,0,újszerű,2019,|nincs megadva|,8,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,van,|nincs megadva|,5.0,,,
39.9,"VIII. kerület, Delej utca ",40.0,1.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,1 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,1.0,|nincs megadva|,,
35.5,"VIII. kerület, Rákóczi út 69.",42.0,1.0,1.0,jó állapotú,|nincs megadva|,összkomfortos,1,4,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,,,,
27.9,"VIII. kerület, Kőris utca ",27.0,1.0,0,felújított,1950 előtt,összkomfortos,1,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,délkelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gáz (konvektor),|nincs megadva|,FF,,,,
89.9,"VIII. kerület, Kálvária utca ",54.0,3.0,0,|nincs megadva|,2024,duplakomfortos,7,7,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,kelet,panorámás,6 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri",teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van - 10 cm,|nincs megadva|,6.0,,|nincs megadva|,
40.0,"VIII. kerület, Józsefváros - Corvinnegyed ",50.0,2.0,0,közepes állapotú,1981 és 2000 között,|nincs megadva|,8,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,,|nincs megadva|,,
69.0,"VIII. kerület, Üllői út 20.",82.0,4.0,0,közepes állapotú,1950 és 1980 között,|nincs megadva|,1,4,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,,
34.89,"VIII. kerület, Józsefváros - Orczynegyed ",31.0,1.0,0,jó állapotú,2001 és 2010 között,|nincs megadva|,2,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,utcai,3 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,3.0,,,
63.99,"VIII. kerület, Józsefváros - Csarnoknegyed ",38.0,2.0,0,újszerű,2021,összkomfortos,8,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,észak,utcai,5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,5.0,,,
51.5,"VIII. kerület, Bezerédj utca 9.",43.0,2.0,0,felújított,|nincs megadva|,összkomfortos,1,4,nincs,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,26 450  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,1.5 m|2|,nem,nem tetőtéri,"utca, közterület","elektromos fűtőpanel, hűtő-fűtő klíma",van,|nincs megadva|,1.5,,,
