price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,Parkolóhely ára,Panelprogram
39.9,"X. kerület, Ligettelek ",36.0,1.0,1.0,8.0,felújított,2001 és 2010 között,összkomfortos,földszint,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,igen,egy helyiségben,dél,kertre néz,8 m|2|,igen,nem tetőtéri,"utca, közterület - ingyenes",házközponti,|nincs megadva|,|nincs megadva|,,
64.9,"X. kerület, Liget utca 5b",85.0,3.0,0,24.0,jó állapotú,2001 és 2010 között,duplakomfortos,1,4,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön és egyben is,|nincs megadva|,utcai,24 m|2|,nem,nem tetőtéri,teremgarázs hely,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,
39.9,"X. kerület, Ligettelek ",36.0,1.0,1.0,10.0,jó állapotú,2001 és 2010 között,összkomfortos,földszint,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,|nincs megadva|,egy helyiségben,dél,utcai,10 m|2|,nem,nem tetőtéri,"utca, közterület",házközponti egyedi méréssel,van - 10 cm,|nincs megadva|,,
71.9,"X. kerület, Zágrábi utca 8.",59.0,3.0,0,9.67,új építésű,2023,összkomfortos,6,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,délnyugat,kertre néz,9.67 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,távfűtés,|nincs megadva|,BB,"4,90 M Ft",
71.66,"X. kerület, Zágrábi utca 8.",55.0,3.0,0,20.79,új építésű,2023,összkomfortos,7,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,nyugat,kertre néz,20.79 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,távfűtés,|nincs megadva|,BB,"4,90 M Ft",
77.0,"X. kerület, Somfa utca ",62.0,3.0,0,8.5,új építésű,2024,összkomfortos,1,6,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,utcai,8.5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"házközponti egyedi méréssel, hőszivattyú",|nincs megadva|,BB,,
23.5,"X. kerület, Kolozsvári utca 37.",64.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,2,3,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
23.4,"X. kerület, Kolozsvári utca 37.",50.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,földszint,3,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
26.9,"X. kerület, Laposdűlő ",49.0,2.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,2,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,,
28.5,"X. kerület, Kolozsvári utca 37.",66.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,földszint,3,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
