price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,Parkolóhely ára,Panelprogram
42.0,"XI. kerület, Barázda utca 5.",27.0,1.0,0,2.0,újszerű,2020,|nincs megadva|,6,9,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,9 700  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,panorámás,2 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,távfűtés egyedi méréssel,|nincs megadva|,CC,,
127.0,"XI. kerület, Bíró László József körút 9.",53.0,2.0,0,32.0,új építésű,2023,luxus,5,több mint 10,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,panorámás,32 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"távfűtés egyedi méréssel, mennyezeti hűtés-fűtés, távfűtés",van,|nincs megadva|,|nincs megadva|,
188.8,"XI. kerület, Rétköz utca ",143.0,3.0,0,,|nincs megadva|,2022,összkomfortos,földszint,5,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,kertre néz,|nincs megadva|,igen,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,van,BB,,
88.45,"XI. kerület, Szerenád utca 4.",50.0,3.0,0,18.0,új építésű,2024,összkomfortos,1,több mint 10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,kelet,kertre néz,18 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"gázkazán, hőszivattyú",|nincs megadva|,BB,5 M Ft,
94.9,"XI. kerület, Csurgói út 22-32.",73.0,3.0,0,15.0,újszerű,2001 és 2010 között,duplakomfortos,2,5,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,igen,külön és egyben is,|nincs megadva|,|nincs megadva|,15 m|2|,nem,nem tetőtéri,"utca, közterület - ingyenes","házközponti egyedi méréssel, hűtő-fűtő klíma",van,|nincs megadva|,,
84.9,"XI. kerület, Kondorosi út 10.",57.0,3.0,0,6.0,újszerű,2001 és 2010 között,összkomfortos,1,7,van,3 m-nél alacsonyabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,125 kWh/hó,|nincs megadva|,18 000  Ft/hó,igen,külön helyiségben,délkelet,kertre néz,6 m|2|,nem,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,van - 10 cm,|nincs megadva|,,
53.9,"XI. kerület, Kérő utca ",54.0,2.0,0,,|nincs megadva|,1981 és 2000 között,összkomfortos,7,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,12 000  Ft/hó,|nincs megadva|,külön és egyben is,délnyugat,panorámás,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes",távfűtés egyedi méréssel,van - 10 cm,|nincs megadva|,,részt vett
67.49,"XI. kerület, Budafoki út ",41.0,2.0,0,8.98,új építésű,2024,összkomfortos,4,több mint 10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délnyugat,kertre néz,8.98 m|2|,nem,nem tetőtéri,|nincs megadva|,mennyezeti hűtés-fűtés,|nincs megadva|,|nincs megadva|,,
52.4,"XI. kerület, Sáfrány utca ",53.0,1.0,2.0,6.0,jó állapotú,1981 és 2000 között,összkomfortos,1,9,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,20 000  Ft/hó,igen,külön helyiségben,|nincs megadva|,utcai,6 m|2|,nem,|nincs megadva|,"utca, közterület - ingyenes",házközponti egyedi méréssel,van - 15 cm,|nincs megadva|,,részt vett
156.99,"XI. kerület, Karolina út ",114.0,4.0,0,12.0,felújított,1950 előtt,duplakomfortos,2,2,nincs,3 m-nél magasabb,van,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,4 800  Ft/hó,nem,egy helyiségben,délkelet,kertre néz,12 m|2|,igen,"legfelső emelet, nem tetőtéri",udvari beálló - benne van az árban,"hőszivattyú, hűtő-fűtő klíma, padlófűtés",van - 25 cm,CC,,
