price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,balcony,Parkolóhely ára,Panelprogram
35.9,"XIII. kerület, Szent László út ",40.0,1.0,0,felújított,1950 előtt,|nincs megadva|,3,4,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,23 000  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes","infrafűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,,
179.0,"XIII. kerület, Újlipótváros ",136.0,4.0,0,jó állapotú,1950 előtt,duplakomfortos,2,7,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,37 900  Ft/hó,igen,egy helyiségben,délnyugat,utcai,2 m|2|,nem,nem tetőtéri,"utca, közterület",távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,2.0,,
41.0,"XIII. kerület, Pozsonyi út ",37.0,1.0,1.0,felújítandó,1950 előtt,összkomfortos,földszint,6,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,30  Ft/hó,12 000  Ft/hó,nem,egy helyiségben,észak,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",távfűtés,nincs,|nincs megadva|,,,
35.0,"XIII. kerület, Hegedűs Gyula utca ",28.0,1.0,0,felújított,|nincs megadva|,összkomfortos,2,2,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,60 m|3|/hó,60 kWh/hó,|nincs megadva|,8 800  Ft/hó,igen,|nincs megadva|,délnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet","gáz (konvektor), elektromos fűtőpanel, kandalló",|nincs megadva|,|nincs megadva|,,,
79.0,"XIII. kerület, Róbert Károly körút 12/B",61.0,2.0,0,újszerű,1950 és 1980 között,|nincs megadva|,6,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,panorámás,5 m|2|,|nincs megadva|,,"utca, közterület","távfűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,5.0,,
34.9,"XIII. kerület, Szent László út ",45.0,1.0,0,jó állapotú,1950 és 1980 között,összkomfortos,1,2,nincs,3 m-nél magasabb,van,100 m|3|/hó,120 kWh/hó,20  Ft/hó,10  Ft/hó,nem,külön helyiségben,dél,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület","gázkazán, hűtő-fűtő klíma",nincs,|nincs megadva|,,,
56.0,"XIII. kerület, Angyalföld ",44.0,2.0,0,jó állapotú,2001 és 2010 között,összkomfortos,1,8,van,3 m-nél alacsonyabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,150 kWh/hó,7 000  Ft/hó,18 000  Ft/hó,igen,egy helyiségben,|nincs megadva|,panorámás,6 m|2|,nem,nem tetőtéri,|nincs megadva|,házközponti,van,|nincs megadva|,6.0,,
59.9,"XIII. kerület, Angyalföld - Béke-Tatai utcai lakótelep ",69.0,3.0,0,felújított,1950 és 1980 között,|nincs megadva|,2,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,
109.9,"XIII. kerület, Babér utca 13-15.",67.0,3.0,0,újszerű,2018,összkomfortos,7,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,100 kWh/hó,20 000  Ft/hó,28 360  Ft/hó,nem,külön és egyben is,északnyugat,panorámás,17 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"házközponti egyedi méréssel, hűtő-fűtő klíma",van - 15 cm,CC,17.0,8 M Ft,
49.9,"XIII. kerület, Angyalföld - Béke-Tatai utcai lakótelep ",145.0,6.0,0,jó állapotú,|nincs megadva|,duplakomfortos,szuterén,4,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,7 000  Ft/hó,45 000  Ft/hó,nem,külön és egyben is,|nincs megadva|,kertre néz,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,,
65.0,"XIII. kerület, Visegrádi utca 15.",80.0,4.0,0,jó állapotú,|nincs megadva|,összkomfortos,földszint,2,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 000  Ft/hó,nem,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,,,
35.5,"XIII. kerület, Göncöl utca ",40.0,1.0,0,jó állapotú,|nincs megadva|,összkomfortos,1,3,nincs,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,,
36.3,"XIII. kerület, Kis Gömb utca ",32.0,1.0,0,felújított,|nincs megadva|,összkomfortos,1,3,|nincs megadva|,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,nem,külön helyiségben,|nincs megadva|,utcai,3 m|2|,nem,nem tetőtéri,|nincs megadva|,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,3.0,,
27.5,"XIII. kerület, Csata utca ",24.0,1.0,0,felújított,1950 és 1980 között,összkomfortos,földszint,3,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,7 500  Ft/hó,8 000  Ft/hó,nem,egy helyiségben,északnyugat,kertre néz,|nincs megadva|,nem,nem tetőtéri,udvari beálló - benne van az árban,"gáz (konvektor), padlófűtés",van,|nincs megadva|,,,
76.5,"XIII. kerület, Angyalföld - Lőportárdűlő ",84.0,4.0,0,jó állapotú,1950 előtt,összkomfortos,1,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,|nincs megadva|,egy helyiségben,délnyugat,|nincs megadva|,8 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,8.0,,
179.9,"XIII. kerület, Katona József utca ",158.0,4.0,0,jó állapotú,1950 előtt,duplakomfortos,2,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,42 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,,,
417.95,"XIII. kerület, Vizafogó - Marinapart ",140.0,3.0,0,újszerű,2001 és 2010 között,duplakomfortos,9,|nincs megadva|,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,dél,panorámás,97 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van,|nincs megadva|,97.0,|nincs megadva|,
119.0,"XIII. kerület, Vizafogó sétány 2/B",92.0,1.0,3.0,felújított,2013,duplakomfortos,4,7,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,35 000  Ft/hó,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,10 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,házközponti,van,|nincs megadva|,10.0,"5,90 M Ft",
65.0,"XIII. kerület, Angyalföld ",71.0,2.0,0,jó állapotú,2001 és 2010 között,összkomfortos,földszint,3,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,teremgarázs hely - kötelező megvenni,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,3 M Ft,
61.9,"XIII. kerület, Madarász Viktor utca ",51.0,2.0,0,újszerű,2001 és 2010 között,összkomfortos,4,6,van,3 m-nél alacsonyabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,nyugat,utcai,5 m|2|,nem,nem tetőtéri,"utca, közterület",házközponti,|nincs megadva|,|nincs megadva|,5.0,,
74.9,"XIII. kerület, Kádár utca ",79.0,3.0,0,felújított,|nincs megadva|,összkomfortos,2,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,
57.5,"XIII. kerület, Radnóti Miklós utca ",68.0,3.0,0,közepes állapotú,|nincs megadva|,összkomfortos,2,4,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,,
84.9,"XIII. kerület, Újlipótváros ",98.0,4.0,0,jó állapotú,1950 előtt,|nincs megadva|,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,dél,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti,|nincs megadva|,|nincs megadva|,,,
28.9,"XIII. kerület, Reitter Ferenc utca 3.",32.0,1.0,0,jó állapotú,|nincs megadva|,|nincs megadva|,3,4,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület","hűtő-fűtő klíma, gáz (konvektor)",van - 5 cm,|nincs megadva|,,,
72.9,"XIII. kerület, Szabolcs utca 22-24.",45.0,2.0,0,|nincs megadva|,2023,|nincs megadva|,3,7,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,11 m|2|,nem,|nincs megadva|,|nincs megadva|,mennyezeti hűtés-fűtés,|nincs megadva|,AA,11.0,,
95.5,"XIII. kerület, Hajóépítő sétány ",47.0,2.0,0,|nincs megadva|,2022,|nincs megadva|,félemelet,8,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,kelet,kertre néz,11 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,mennyezeti hűtés-fűtés,|nincs megadva|,|nincs megadva|,11.0,,
49.9,"XIII. kerület, Visegrádi utca ",42.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,3,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,,
