price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram
57.3,"III. kerület, Pünkösdfürdő utca ",44.0,2.0,0,4.18,új építésű,2023,duplakomfortos,7,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,4.18 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
765.0,"II. kerület, Bem rakpart ",150.0,4.0,0,,felújított,1950 előtt,luxus,2,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,52 670  Ft/hó,külön helyiségben,kelet,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,"gáz (konvektor), egyéb",|nincs megadva|,|nincs megadva|,
199.0,"II. kerület, Pasaréti út 84b",98.0,3.0,0,34.0,újszerű,2012,összkomfortos,3,4,van,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,150 kWh/hó,10 000  Ft/hó,30 000  Ft/hó,külön és egyben is,délkelet,panorámás,34 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,20 M Ft,házközponti egyedi méréssel,van - 20 cm,BB,
40.9,"III. kerület, Juhász Gyula utca 2.",51.0,2.0,0,4.0,felújított,1950 és 1980 között,összkomfortos,4,10,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,külön helyiségben,nyugat,panorámás,4 m|2|,nem,nem tetőtéri,"utca, közterület - ingyenes",,"távfűtés egyedi méréssel, hűtő-fűtő klíma",nincs,|nincs megadva|,nem vett részt
64.9,"III. kerület, Váradi utca ",66.0,3.0,0,6.0,felújított,|nincs megadva|,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,nincs,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,32 000  Ft/hó,15 000  Ft/hó,külön helyiségben,|nincs megadva|,kertre néz,6 m|2|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,távfűtés egyedi méréssel,nincs,|nincs megadva|,nem vett részt
57.9,"III. kerület, Sramli utca ",72.0,4.0,0,5.0,|nincs megadva|,1981 és 2000 között,|nincs megadva|,1,4,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,5 m|2|,nem,|nincs megadva|,"utca, közterület",,távfűtés,van,|nincs megadva|,|nincs megadva|
105.0,"III. kerület, Pünkösdfürdő utca ",79.0,3.0,0,9.31,új építésű,2023,duplakomfortos,9,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,9.31 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
199.0,"II. kerület, Pasaréti út 84b",102.0,4.0,0,18.0,újszerű,2012,összkomfortos,3,4,van,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,100 kWh/hó,10 000  Ft/hó,42 000  Ft/hó,külön és egyben is,délkelet,panorámás,18 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 20 cm,BB,
62.0,"II. kerület, Varsányi Irén utca ",62.0,2.0,0,3.5,jó állapotú,|nincs megadva|,|nincs megadva|,1,5,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,120 m|3|/hó,200 kWh/hó,|nincs megadva|,17 600  Ft/hó,külön helyiségben,dél,kertre néz,3.5 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
64.0,"II. kerület, Országút ",64.0,2.0,0,3.0,közepes állapotú,1950 és 1980 között,összkomfortos,1,|nincs megadva|,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,külön helyiségben,délkelet,utcai,3 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",,elektromos konvektor,van,|nincs megadva|,
