price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram,balcony,Parkolóhely ára
120.0,"V. kerület, Károly körút ",69.0,2.0,0,jó állapotú,|nincs megadva|,|nincs megadva|,4,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,egy helyiségben,|nincs megadva|,panorámás,|nincs megadva|,nem,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,
66.5,"IV. kerület, Váci út 121.",121.0,3.0,0,jó állapotú,1981 és 2000 között,összkomfortos,4,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,85  Ft/hó,nem,külön helyiségben,|nincs megadva|,kertre néz,|nincs megadva|,nem,tetőtéri,udvari beálló - benne van az árban,házközponti,van,EE,|nincs megadva|,,
47.5,"IV. kerület, Petőfi utca 18.",54.0,2.0,0,újszerű,|nincs megadva|,összkomfortos,|nincs megadva|,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,35 000  Ft/hó,|nincs megadva|,nem,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes","távfűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,nem vett részt,,
40.5,"IV. kerület, Szigeti József utca ",54.0,2.0,0,jó állapotú,|nincs megadva|,összkomfortos,8,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,9 720  Ft/hó,|nincs megadva|,külön helyiségben,délkelet,panorámás,4 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,|nincs megadva|,4.0,
399.9,"V. kerület, Báthory utca ",141.0,3.0,0,felújított,1950 előtt,luxus,2,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,54 141  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,panorámás,20 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,házközponti,|nincs megadva|,|nincs megadva|,,20.0,
194.9,"V. kerület, Váci utca ",79.0,3.0,0,felújított,1950 előtt,luxus,2,|nincs megadva|,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,30 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,2 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,2.0,
79.3,"V. kerület, Alkotmány utca 16.",62.0,2.0,0,közepes állapotú,1950 előtt,összkomfortos,földszint,4,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,24  Ft/hó,nem,külön és egyben is,nyugat,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",|nincs megadva|,nincs,|nincs megadva|,,,
309.9,"V. kerület, Balassi Bálint utca ",113.0,3.0,0,felújított,1950 előtt,duplakomfortos,3,6,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,nyugat,panorámás,3 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",házközponti,|nincs megadva|,|nincs megadva|,,3.0,
132.0,"V. kerület, Aranykéz utca ",88.0,3.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,,
89.9,"V. kerület, Lipótváros ",59.0,2.0,0,felújított,1950 előtt,összkomfortos,1,4,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 225  Ft/hó,nem,egy helyiségben,kelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet","gázkazán, padlófűtés",nincs,|nincs megadva|,,,
89.9,"V. kerület, Honvéd tér ",59.0,2.0,0,felújított,1950 előtt,összkomfortos,1,5,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,észak,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",padlófűtés,|nincs megadva|,|nincs megadva|,,,
49.9,"IV. kerület, Bőröndös utca ",88.0,3.0,0,jó állapotú,1981 és 2000 között,összkomfortos,2,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 000  Ft/hó,|nincs megadva|,külön helyiségben,kelet,|nincs megadva|,5 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,|nincs megadva|,5.0,
52.9,"IV. kerület, József Attila utca ",54.0,1.0,2.0,jó állapotú,2001 és 2010 között,összkomfortos,3,5,van,3 m-nél alacsonyabb,van,3 m|3|/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,dél,udvari,3 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",házközponti egyedi méréssel,van,|nincs megadva|,,3.0,
