price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram
65.1,"VIII. kerület, Lovassy László utca 4/A",47.0,2.0,0,6.02,új építésű,2025,összkomfortos,2,5,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,kertre néz,6.02 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"6,50 M Ft","fan-coil, hőszivattyú",van - 15 cm,AA,
78.04,"VIII. kerület, Lovassy László utca 4/A",56.0,2.0,0,15.48,új építésű,2025,összkomfortos,földszint,5,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,kertre néz,15.48 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,"6,50 M Ft","fan-coil, hőszivattyú",van - 15 cm,AA,
41.99,"VIII. kerület, Dankó utca 23-25.",31.0,1.0,0,4.5,új építésű,2025,összkomfortos,2,6,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északnyugat,udvari,4.5 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,5 M Ft,"házközponti, hőszivattyú",|nincs megadva|,BB,
73.9,"VIII. kerület, Rákóczi út 29.",85.0,2.0,0,,közepes állapotú,1950 előtt,összkomfortos,3,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,külön helyiségben,délnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
165.0,"VIII. kerület, Üllői út ",141.0,3.0,0,,felújított,1950 előtt,összkomfortos,félemelet,4,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,32 580  Ft/hó,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,igen,nem tetőtéri,"utca, közterület",,gázkazán,|nincs megadva|,|nincs megadva|,
89.5,"VIII. kerület, Kisfaludy utca ",107.0,3.0,0,7.0,felújított,|nincs megadva|,duplakomfortos,2,3,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,22 000  Ft/hó,külön és egyben is,|nincs megadva|,utcai,7 m|2|,nem,nem tetőtéri,"utca, közterület",,gázkazán,|nincs megadva|,|nincs megadva|,
51.63,"VIII. kerület, Dankó utca 23-25.",41.0,2.0,0,2.75,új építésű,2025,összkomfortos,1,6,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,kelet,udvari,2.75 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,5 M Ft,"házközponti, hőszivattyú",|nincs megadva|,BB,
44.1,"VIII. kerület, Illés utca 6.",26.0,1.0,0,6.0,új építésű,2024,összkomfortos,1,9,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,kelet,udvari,6 m|2|,nem,nem tetőtéri,|nincs megadva|,,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés",|nincs megadva|,BB,
32.9,"VIII. kerület, Bíró Lajos utca 53.",43.0,1.0,0,14.0,közepes állapotú,|nincs megadva|,összkomfortos,félemelet,2,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,14 m|2|,igen,nem tetőtéri,"utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
80.9,"VIII. kerület, Nap utca 13.",66.0,3.0,1.0,,felújított,|nincs megadva|,duplakomfortos,2,3,nincs,3 m-nél magasabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,13 400  Ft/hó,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",,padlófűtés,|nincs megadva|,|nincs megadva|,
27.9,"VIII. kerület, Kőris utca 26.",28.0,1.0,0,,újszerű,1950 előtt,duplakomfortos,földszint,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,"hűtő-fűtő klíma, padlófűtés",van,|nincs megadva|,
27.9,"VIII. kerület, Kőris utca 26.",28.0,1.0,0,,újszerű,1950 előtt,duplakomfortos,földszint,3,nincs,3 m-nél magasabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,"hűtő-fűtő klíma, padlófűtés",van,|nincs megadva|,
179.0,"VIII. kerület, Vas utca 6.",180.0,4.0,0,8.0,jó állapotú,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
59.9,"VIII. kerület, Dugonics utca ",67.0,3.0,0,,újszerű,2001 és 2010 között,duplakomfortos,3,6,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,udvari beálló,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
55.69,"VIII. kerület, Józsefváros - Palotanegyed ",34.0,1.0,0,3.94,új építésű,2023,összkomfortos,2,7,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,3.94 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,hőszivattyú,|nincs megadva|,AA+,
47.68,"VIII. kerület, Illés utca 6.",25.0,1.0,0,6.0,új építésű,2024,összkomfortos,1,9,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,kelet,udvari,6 m|2|,igen,nem tetőtéri,|nincs megadva|,,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés",|nincs megadva|,BB,
62.55,"VIII. kerület, Illés utca 6.",44.0,2.0,0,7.0,új építésű,2024,összkomfortos,6,9,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,7 m|2|,nem,nem tetőtéri,|nincs megadva|,,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés",|nincs megadva|,BB,
65.27,"VIII. kerület, Illés utca 6.",45.0,2.0,0,8.0,új építésű,2024,összkomfortos,1,9,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,8 m|2|,igen,nem tetőtéri,|nincs megadva|,,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés",|nincs megadva|,BB,
