price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Panelprogram,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,Parkolóhely ára
47.9,"XI. kerület, Etele út ",48.0,2.0,0,5.0,felújított,1950 és 1980 között,összkomfortos,3,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 700  Ft/hó,|nincs megadva|,nyugat,panorámás,5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,
108.0,"XI. kerület, Őrmező ",46.0,2.0,0,7.0,újszerű,2021,összkomfortos,2,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,41 000  Ft/hó,|nincs megadva|,|nincs megadva|,udvari,7 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
88.35,"XI. kerület, Kelenföld ",84.0,4.0,0,,jó állapotú,1950 előtt,összkomfortos,földszint,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,19 000  Ft/hó,|nincs megadva|,nyugat,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
48.0,"XI. kerület, Albertfalva ",27.0,1.0,0,5.0,jó állapotú,2015,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,dél,udvari,5 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,hőszivattyú,|nincs megadva|,|nincs megadva|,
199.0,"XI. kerület, Sasad ",172.0,5.0,0,,felújított,2001 és 2010 között,duplakomfortos,1,|nincs megadva|,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,van,|nincs megadva|,
75.0,"XI. kerület, Lágymányos - Műegyetem környéke ",60.0,4.0,0,,felújított,1950 előtt,összkomfortos,4,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,egyéb,|nincs megadva|,DD,
48.0,"XI. kerület, Kelenföld ",27.0,1.0,0,5.0,jó állapotú,2015,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,dél,udvari,5 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,hőszivattyú,|nincs megadva|,AA,
37.4,"XI. kerület, Temesvár utca ",26.0,1.0,0,3.0,felújított,|nincs megadva|,összkomfortos,félemelet,3,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,kertre néz,3 m|2|,nem,nem tetőtéri,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
47.9,"XI. kerület, Kelenföldi lakótelep ",48.0,2.0,0,5.0,felújított,1950 és 1980 között,összkomfortos,3,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 700  Ft/hó,|nincs megadva|,nyugat,panorámás,5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,
22.9,"XI. kerület, Albertfalvai lakótelep ",33.0,1.0,1.0,,jó állapotú,1950 és 1980 között,összkomfortos,szuterén,|nincs megadva|,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,egyéb,|nincs megadva|,|nincs megadva|,
