price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energetikai tanúsítvány,Panelprogram
68.9,"XIII. kerület, Szabolcs utca ",45.0,2.0,0,7.0,|nincs megadva|,2023,összkomfortos,3,7,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,utcai,7 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,8 M Ft,"mennyezeti hűtés-fűtés, hőszivattyú",van,|nincs megadva|,
79.85,"XIII. kerület, Danubius utca ",61.0,2.0,0,40.0,újszerű,2001 és 2010 között,összkomfortos,1,9,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,panorámás,40 m|2|,igen,nem tetőtéri,teremgarázs hely,,házközponti egyedi méréssel,van,|nincs megadva|,
87.9,"XIII. kerület, Petneházy utca 50-52.",75.0,3.0,0,,új építésű,2024,összkomfortos,4,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,udvari,|nincs megadva|,nem,tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
76.1,"XIII. kerület, Petneházy utca 50-52.",70.0,3.0,0,,új építésű,2024,összkomfortos,2,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délkelet,utcai,|nincs megadva|,nem,nem tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
82.0,"XIII. kerület, Kárpát utca 2/a-c",60.0,2.0,1.0,5.0,felújított,1950 és 1980 között,összkomfortos,6,7,van,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,5 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület",,|nincs megadva|,|nincs megadva|,|nincs megadva|,
86.6,"XIII. kerület, Szabolcs utca 4.",74.0,3.0,0,14.0,új építésű,2024,összkomfortos,1,8,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,14 m|2|,nem,nem tetőtéri,teremgarázs hely,,házközponti egyedi méréssel,van - 15 cm,AA,
48.4,"XIII. kerület, Petneházy utca 50-52.",44.0,2.0,0,,új építésű,2024,összkomfortos,3,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,dél,utcai,|nincs megadva|,nem,nem tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
48.3,"XIII. kerület, Petneházy utca 50-52.",44.0,2.0,0,,új építésű,2024,összkomfortos,2,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északkelet,udvari,|nincs megadva|,nem,nem tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
60.8,"XIII. kerület, Petneházy utca 50-52.",56.0,3.0,0,,új építésű,2024,összkomfortos,1,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,udvari,|nincs megadva|,nem,nem tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
94.7,"XIII. kerület, Tahi utca 59-61.",70.0,3.0,0,20.0,új építésű,2023,összkomfortos,2,7,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,20 m|2|,|nincs megadva|,nem tetőtéri,teremgarázs hely - megvásárolható,"3,90 M Ft","házközponti egyedi méréssel, gázkazán, hőszivattyú",|nincs megadva|,BB,
79.15,"XIII. kerület, Tahi utca 59-61.",63.0,3.0,0,5.6,új építésű,2023,összkomfortos,1,7,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,udvari,5.6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"3,90 M Ft","házközponti egyedi méréssel, gázkazán, hőszivattyú",|nincs megadva|,BB,
117.0,"XIII. kerület, Kerekes utca ",120.0,4.0,1.0,,újszerű,2023,duplakomfortos,6,7,van,3 m-nél alacsonyabb,nincs,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri",udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van,|nincs megadva|,
99.9,"XIII. kerület, Katona József utca 17.",121.0,4.0,0,,jó állapotú,|nincs megadva|,összkomfortos,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,utcai,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület",,gázkazán,|nincs megadva|,|nincs megadva|,
75.99,"XIII. kerület, Tahi utca 59-61.",57.0,3.0,0,7.1,új építésű,2023,összkomfortos,4,7,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,utcai,7.1 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"3,90 M Ft","házközponti egyedi méréssel, gázkazán, hőszivattyú",|nincs megadva|,BB,
76.1,"XIII. kerület, Petneházy utca 50-52.",70.0,3.0,0,,új építésű,2024,összkomfortos,3,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délkelet,utcai,|nincs megadva|,nem,nem tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
69.7,"XIII. kerület, Dévai utca 14.",51.0,2.0,0,12.0,új építésű,2026,összkomfortos,2,8,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,utcai,12 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,6 M Ft,mennyezeti hűtés-fűtés,van,AA+,
95.9,"XIII. kerület, Tüzér utca 30.",58.0,2.0,0,39.0,újszerű,2001 és 2010 között,összkomfortos,6,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,39 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"10,25 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
90.7,"XIII. kerület, Petneházy utca 50-52.",76.0,3.0,0,,új építésű,2024,összkomfortos,4,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,udvari,|nincs megadva|,nem,tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
86.0,"XIII. kerület, Petneházy utca 50-52.",77.0,3.0,0,,új építésű,2024,összkomfortos,4,4,van,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,utcai,|nincs megadva|,nem,tetőtéri,udvari beálló - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
71.8,"XIII. kerület, Szabolcs utca 4.",50.0,2.0,0,5.0,új építésű,2024,összkomfortos,3,8,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délkelet,utcai,5 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,6 M Ft,házközponti egyedi méréssel,van - 15 cm,AA,
79.99,"XIII. kerület, Tahi utca 59-61.",60.0,3.0,0,19.89,új építésű,2022,összkomfortos,1,7,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,19.89 m|2|,nem,nem tetőtéri,teremgarázs hely - kötelező megvenni,"3,90 M Ft","házközponti egyedi méréssel, gázkazán, hőszivattyú",|nincs megadva|,BB,
81.7,"XIII. kerület, Tahi utca 59-61.",63.0,3.0,0,5.4,új építésű,2023,összkomfortos,4,7,van,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,5.4 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"3,90 M Ft","házközponti egyedi méréssel, gázkazán, hőszivattyú",|nincs megadva|,BB,
97.9,"XIII. kerület, Tüzér utca 30.",62.0,3.0,0,35.0,újszerű,2001 és 2010 között,összkomfortos,5,6,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,80 kWh/hó,15 000 000  Ft/hó,34 650  Ft/hó,egy helyiségben,délkelet,panorámás,35 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"10,25 M Ft",házközponti egyedi méréssel,van,CC,
119.9,"XIII. kerület, Kucsma utca 7-9.",92.0,4.0,0,10.0,|nincs megadva|,2023,duplakomfortos,1,4,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,utcai,10 m|2|,|nincs megadva|,nem tetőtéri,teremgarázs hely - megvásárolható,"6,90 M Ft",házközponti egyedi méréssel,van - 15 cm,BB,
102.9,"XIII. kerület, Tüzér utca 30.",65.0,3.0,0,32.0,újszerű,2001 és 2010 között,összkomfortos,5,6,van,|nincs megadva|,van,igen,Nincs gáz bekötve az ingatlanba,80 kWh/hó,15 000  Ft/hó,36 198  Ft/hó,egy helyiségben,délkelet,panorámás,32 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"10,25 M Ft",házközponti egyedi méréssel,van,CC,
94.9,"XIII. kerület, Hegedűs Gyula utca ",92.0,4.0,0,,felújított,1950 előtt,összkomfortos,1,5,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,31 000  Ft/hó,külön és egyben is,északkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,házközponti,|nincs megadva|,|nincs megadva|,
31.9,"XIII. kerület, Dévényi utca ",32.0,1.0,0,,felújított,1950 előtt,összkomfortos,földszint,4,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,8 000  Ft/hó,egy helyiségben,délnyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - ingyenes",,elektromos fűtőpanel,nincs,DD,
29.9,"XIII. kerület, Béke utca ",30.0,1.0,0,,felújított,1950 és 1980 között,összkomfortos,földszint,4,nincs,3 m-nél magasabb,nincs,igen,|nincs megadva|,|nincs megadva|,6 000  Ft/hó,8 300  Ft/hó,egy helyiségben,dél,utcai,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - ingyenes",,elektromos fűtőpanel,nincs,DD,
68.75,"XIII. kerület, Szobor utca 4.",39.0,1.0,1.0,11.0,|nincs megadva|,2020,összkomfortos,2,8,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,18 639  Ft/hó,egy helyiségben,észak,kertre néz,11 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
59.9,"XIII. kerület, Kucsma utca 7-9.",40.0,2.0,0,8.0,új építésű,2023,összkomfortos,2,3,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délnyugat,kertre néz,8 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"6,90 M Ft",házközponti egyedi méréssel,van - 15 cm,BB,
89.3,"XIII. kerület, Lomb utca 13.",66.0,3.0,0,12.07,új építésű,2025,összkomfortos,2,|nincs megadva|,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,kertre néz,12.07 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,6 M Ft,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés, hőszivattyú",|nincs megadva|,BB,
54.1,"XIII. kerület, Lomb utca 13.",31.0,1.0,0,8.93,új építésű,2025,összkomfortos,4,|nincs megadva|,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,dél,utcai,8.93 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,6 M Ft,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés, hőszivattyú",|nincs megadva|,BB,
90.0,"XIII. kerület, Lomb utca 13.",66.0,3.0,0,8.23,új építésű,2025,összkomfortos,4,|nincs megadva|,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kertre néz,8.23 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,6 M Ft,"házközponti egyedi méréssel, mennyezeti hűtés-fűtés, hőszivattyú",|nincs megadva|,BB,
63.9,"XIII. kerület, Lőportár köz ",48.0,2.0,0,6.0,újszerű,2020,összkomfortos,4,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,külön helyiségben,északnyugat,utcai,6 m|2|,nem,nem tetőtéri,teremgarázs hely - kötelező megvenni,5 M Ft,házközponti egyedi méréssel,van - 10 cm,CC,
82.5,"XIII. kerület, Hegedűs Gyula utca 30.",63.0,3.0,0,,felújított,|nincs megadva|,összkomfortos,2,|nincs megadva|,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,|nincs megadva|,délkelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
72.9,"XIII. kerület, Dolmány utca ",69.0,2.0,1.0,7.0,felújított,2001 és 2010 között,|nincs megadva|,1,4,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,38 000  Ft/hó,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,7 m|2|,|nincs megadva|,nem tetőtéri,teremgarázs hely - megvásárolható,"6,50 M Ft","házközponti egyedi méréssel, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,
29.5,"XIII. kerület, Szabolcs utca 30.",27.0,1.0,0,,felújított,1950 és 1980 között,komfortos,3,4,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,|nincs megadva|,egy helyiségben,dél,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
47.99,"XIII. kerület, Angyalföld ",41.0,1.0,2.0,,jó állapotú,2001 és 2010 között,összkomfortos,1,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,külön helyiségben,nyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,teremgarázs hely - bérelhető,20 000  Ft/hó,házközponti egyedi méréssel,van,|nincs megadva|,
