price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energetikai tanúsítvány,balcony,Parkolóhely ára,Panelprogram
72.9,"XII. kerület, Márvány utca 26.",58.0,2.0,0,jó állapotú,1950 és 1980 között,összkomfortos,1,6,van,3 m-nél alacsonyabb,nincs,25 m|3|/hó,180 kWh/hó,15 000  Ft/hó,10 000  Ft/hó,nem,külön helyiségben,dél,kertre néz,|nincs megadva|,nem,nem tetőtéri,önálló garázs - benne van az árban,gáz (konvektor),van,|nincs megadva|,,,
199.9,"XII. kerület, Eötvös út 10-14.",64.0,2.0,0,|nincs megadva|,2024,luxus,földszint,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön és egyben is,|nincs megadva|,udvari,8 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,van - 20 cm,|nincs megadva|,8.0,9 M Ft,
149.0,"XII. kerület, Maros utca ",119.0,5.0,0,felújított,1950 előtt,luxus,3,3,nincs,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,46 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,2 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,2.0,,
82.5,"XII. kerület, Márvány utca ",101.0,3.0,1.0,közepes állapotú,1950 előtt,|nincs megadva|,1,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,,,
69.99,"XII. kerület, Thomán István utca 12.",58.0,2.0,1.0,jó állapotú,1950 és 1980 között,összkomfortos,földszint,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 400  Ft/hó,nem,külön helyiségben,délkelet,kertre néz,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - ingyenes",gázkazán,|nincs megadva|,|nincs megadva|,,,
238.0,"XII. kerület, Bartha utca 7.",130.0,4.0,0,újszerű,|nincs megadva|,luxus,1,|nincs megadva|,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri",önálló garázs - benne van az árban,hőszivattyú,van,|nincs megadva|,,,
96.82,"XII. kerület, Királyhágó tér 6-7.",45.0,2.0,0,új építésű,2024,luxus,1,7,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,22 000  Ft/hó,|nincs megadva|,nem,külön helyiségben,dél,kertre néz,6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"hőszivattyú, mennyezeti hűtés-fűtés",|nincs megadva|,|nincs megadva|,6.0,8 M Ft,
189.0,"XII. kerület, Krisztinaváros ",84.0,3.0,0,új építésű,2022,luxus,földszint,2,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,északkelet,udvari,65 m|2|,igen,nem tetőtéri,teremgarázs hely - kötelező megvenni,hőszivattyú,van - 10 cm,|nincs megadva|,65.0,10 M Ft,
204.84,"XII. kerület, Krisztinaváros ",82.0,3.0,0,új építésű,2023,luxus,2,3,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,külön helyiségben,délnyugat,utcai,15 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,hőszivattyú,van - 15 cm,|nincs megadva|,15.0,6 M Ft,
126.9,"XII. kerület, Istenhegy ",81.0,3.0,0,jó állapotú,1981 és 2000 között,összkomfortos,félemelet,3,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,|nincs megadva|,nem,külön helyiségben,dél,panorámás,14 m|2|,nem,nem tetőtéri,önálló garázs - kötelező megvenni,"gázkazán, gáz (konvektor)",|nincs megadva|,|nincs megadva|,14.0,12 M Ft,
